Date,Open,High,Low,Close,Adj Close,Volume
2021-03-23,99.000000,104.449997,98.150002,103.449997,101.412567,925171
2021-03-24,102.099998,103.250000,99.349998,99.900002,97.932487,544436
2021-03-25,100.500000,100.500000,95.550003,96.300003,94.403389,471049
2021-03-26,97.800003,98.599998,95.000000,95.949997,94.060280,390778
2021-03-30,97.250000,100.000000,95.500000,96.650002,94.746498,362743
2021-03-31,96.949997,99.500000,96.099998,97.800003,95.873848,397628
2021-04-01,98.800003,102.849998,98.099998,101.599998,99.599007,638254
2021-04-05,102.449997,102.800003,96.500000,98.900002,96.952187,808173
2021-04-06,100.000000,100.599998,97.550003,99.050003,97.099236,501932
2021-04-07,98.400002,101.000000,98.400002,100.550003,98.569695,445243
2021-04-08,101.500000,107.550003,100.550003,105.550003,103.471214,1682208
2021-04-09,107.150002,112.000000,105.599998,107.449997,105.333794,2988564
2021-04-12,104.050003,104.500000,96.199997,96.599998,94.697479,1427025
2021-04-13,98.099998,102.050003,97.400002,100.650002,98.667725,555767
2021-04-15,101.500000,105.949997,99.000000,103.400002,101.363564,1078804
2021-04-16,104.349998,107.650002,102.349998,106.949997,104.843636,1594114
2021-04-19,107.000000,107.900002,102.099998,103.699997,101.657646,1814121
2021-04-20,106.099998,109.000000,105.000000,107.000000,104.892662,2257434
2021-04-22,106.500000,107.650002,104.500000,105.650002,103.569244,661759
2021-04-23,106.150002,107.750000,104.099998,105.150002,103.079094,537425
2021-04-26,106.150002,108.750000,105.150002,106.500000,104.402504,802510
2021-04-27,107.250000,108.300003,104.800003,107.000000,104.892662,887011
2021-04-28,108.000000,109.000000,104.699997,105.449997,103.373177,766330
2021-04-29,105.500000,108.000000,104.699997,105.500000,103.422203,898557
2021-04-30,105.500000,106.949997,104.750000,105.250000,103.177116,433228
2021-05-03,105.000000,114.900002,104.150002,111.550003,109.353050,2777219
2021-05-04,113.000000,119.000000,108.000000,109.050003,106.902283,2576664
2021-05-05,110.099998,111.900002,108.650002,111.050003,108.862900,694741
2021-05-06,113.000000,118.000000,111.250000,114.750000,112.490028,1992950
2021-05-07,117.449997,120.000000,114.000000,118.099998,115.774048,2230504
2021-05-10,119.650002,121.000000,116.500000,117.900002,115.577988,918535
2021-05-11,116.500000,119.800003,115.349998,116.699997,114.401611,1104961
2021-05-12,116.000000,118.000000,113.599998,114.949997,112.686081,844050
2021-05-14,116.099998,121.949997,113.750000,118.550003,116.215179,2706105
2021-05-17,122.199997,124.000000,119.000000,121.650002,119.254128,2528559
2021-05-18,130.000000,132.399994,125.099998,125.949997,123.469437,7694317
2021-05-19,126.500000,129.000000,125.800003,126.800003,124.302704,1867576
2021-05-20,128.000000,137.300003,127.000000,134.750000,132.096130,5280577
2021-05-21,136.000000,141.949997,135.850006,139.250000,136.507492,3258861
2021-05-24,139.899994,142.800003,136.100006,138.800003,136.066376,2042882
2021-05-25,140.100006,142.000000,137.750000,140.649994,137.879913,861930
2021-05-26,141.149994,142.500000,138.300003,139.899994,137.144684,772412
2021-05-27,140.000000,149.000000,138.300003,148.000000,145.085159,1866180
2021-05-28,147.800003,147.800003,141.850006,142.949997,140.134628,808286
2021-05-31,142.899994,145.600006,137.550003,138.449997,135.723251,622188
2021-06-01,139.199997,140.199997,133.000000,133.850006,131.213867,626507
2021-06-02,132.100006,139.800003,132.100006,136.850006,134.154770,1394790
2021-06-03,138.000000,138.899994,136.500000,137.250000,134.546890,1290421
2021-06-04,138.500000,142.600006,137.000000,141.750000,138.958267,1151010
2021-06-07,141.100006,143.000000,140.699997,141.100006,138.321075,460299
2021-06-08,142.000000,143.050003,138.750000,139.850006,137.095688,374272
2021-06-09,140.449997,141.850006,131.100006,134.199997,131.556961,665580
2021-06-10,135.399994,138.000000,134.699997,135.300003,132.635300,394850
2021-06-11,136.800003,137.149994,134.500000,135.699997,133.027405,497276
2021-06-14,135.800003,137.699997,133.100006,134.750000,132.096130,413711
2021-06-15,135.000000,139.000000,122.599998,133.750000,131.115814,461867
2021-06-16,134.699997,136.750000,133.750000,134.649994,131.998077,292872
2021-06-17,134.899994,140.899994,134.050003,136.800003,134.105759,828143
2021-06-18,138.000000,138.949997,126.650002,135.350006,132.684311,821969
2021-06-21,130.600006,137.300003,130.600006,135.550003,132.880371,272982
2021-06-22,137.000000,137.500000,133.000000,133.449997,130.821732,861891
2021-06-23,134.949997,135.800003,132.000000,133.050003,130.429611,252450
2021-06-24,134.300003,135.000000,133.000000,133.300003,130.674683,135852
2021-06-25,134.199997,138.000000,133.800003,137.199997,134.497879,951136
2021-06-28,139.000000,139.800003,136.500000,137.050003,134.350830,485413
2021-06-29,137.050003,139.000000,135.050003,136.000000,133.321518,411271
2021-06-30,137.000000,139.000000,136.100006,136.800003,134.105759,268087
2021-07-01,137.550003,138.800003,135.550003,136.500000,133.811661,279421
2021-07-02,137.500000,138.800003,136.500000,138.050003,135.331131,1118611
2021-07-05,140.000000,146.000000,139.050003,143.800003,140.967880,3070740
2021-07-06,145.750000,151.449997,144.449997,146.649994,143.761749,2816896
2021-07-07,147.000000,149.649994,145.500000,146.100006,143.222595,1634397
2021-07-08,146.350006,147.750000,141.000000,143.750000,140.918884,458477
2021-07-09,144.550003,145.000000,140.199997,143.500000,140.673798,385462
2021-07-12,144.600006,150.000000,144.149994,146.750000,143.859802,1332169
2021-07-13,148.899994,152.449997,146.750000,147.199997,144.300919,1272798
2021-07-14,149.000000,149.000000,144.000000,144.649994,141.801132,410107
2021-07-15,145.850006,149.050003,144.699997,146.100006,143.222595,1564103
2021-07-16,147.050003,148.350006,144.500000,145.500000,142.634415,374609
2021-07-19,145.000000,151.850006,144.500000,148.949997,146.016449,2038795
2021-07-20,150.449997,154.000000,149.000000,151.149994,148.173126,2873850
2021-07-22,155.000000,156.600006,151.550003,153.500000,150.476852,1682515
2021-07-23,154.800003,154.800003,149.550003,151.750000,148.761307,647578
2021-07-26,154.899994,155.699997,150.300003,151.949997,148.957367,1285416
2021-07-27,154.000000,156.399994,150.449997,152.399994,149.398499,948639
2021-07-28,151.500000,154.399994,149.699997,150.750000,149.250000,713348
2021-07-29,151.449997,158.949997,149.500000,156.399994,156.399994,2670471
2021-07-30,158.100006,162.000000,158.100006,159.750000,159.750000,2171728
2021-08-02,161.800003,163.500000,159.800003,162.399994,162.399994,1352727
2021-08-03,168.000000,171.899994,166.000000,167.100006,167.100006,3837550
2021-08-04,169.000000,173.149994,167.149994,169.500000,169.500000,2058059
2021-08-05,172.000000,172.500000,164.149994,169.100006,169.100006,1214909
2021-08-06,169.899994,173.500000,167.949997,169.199997,169.199997,935369
2021-08-09,170.300003,172.250000,168.100006,168.699997,168.699997,887660
2021-08-10,169.350006,169.350006,154.550003,160.050003,160.050003,1169717
2021-08-11,160.100006,162.449997,150.000000,154.399994,154.399994,1337629
2021-08-12,155.600006,163.500000,155.550003,162.350006,162.350006,637657
